ID,Squad,Year,Players,Age,Possession,MatchesPlayed,Starts,MinPlayingTime,Mins Played 90,Goals,Assists,Non Penalty Goals,PenaltyKicksMade,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals Per 90,Assists Per 90,Goals Plus Assists Per 90,goals minus penalty kicks per 90,goals plus assists minus penalty kicks per 90
1,Argentina,2019,18,26.8,34.7,3,33,270,3,2,1,1,1,1,3,0,0.67,0.33,1,0.33,0.67
2,Australia,2019,18,25.4,61.3,4,44,390,4.3,8,4,8,0,1,2,0,1.85,0.92,2.77,1.85,2.77
3,Brazil,2019,18,29.7,51.5,4,44,390,4.3,7,3,5,2,3,7,0,1.62,0.69,2.31,1.15,1.85
4,Cameroon,2019,20,27.7,36,4,44,360,4,3,3,3,0,0,6,0,0.75,0.75,1.5,0.75,1.5
5,Canada,2019,16,27,63,4,44,360,4,4,3,4,0,1,2,0,1,0.75,1.75,1,1.75
6,Chile,2019,18,26.8,42,3,33,270,3,1,1,1,0,1,5,0,0.33,0.33,0.67,0.33,0.67
7,China PR,2019,17,26.6,47,4,44,360,4,1,1,1,0,0,5,0,0.25,0.25,0.5,0.25,0.5
8,England,2019,22,27.8,60.4,7,77,630,7,13,12,12,1,4,1,1,1.86,1.71,3.57,1.71,3.43
9,France,2019,17,27.8,58.8,5,55,480,5.3,10,8,8,2,2,2,0,1.87,1.5,3.38,1.5,3
10,Germany,2019,19,25.5,57.2,5,55,450,5,10,4,9,1,1,2,0,2,0.8,2.8,1.8,2.6
11,Italy,2019,17,26.5,43.4,5,55,450,5,9,6,8,1,1,4,0,1.8,1.2,3,1.6,2.8
12,Jamaica,2019,20,22.9,36.7,3,33,270,3,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
13,Japan,2019,17,24.8,53.8,4,44,360,4,3,2,2,1,1,4,0,0.75,0.5,1.25,0.5,1
14,Korea Rep,2019,19,26.9,52,3,33,270,3,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
15,Netherlands,2019,16,26.1,57.1,7,77,660,7.3,11,7,10,1,1,0,0,1.5,0.95,2.45,1.36,2.32
16,New Zealand,2019,17,27.6,39.3,3,33,270,3,0,0,0,0,0,1,0,0,0,0,0,0
17,Nigeria,2019,20,25.7,34.8,4,44,360,4,1,1,1,0,0,6,1,0.25,0.25,0.5,0.25,0.5
18,Norway,2019,17,26.8,50.2,5,55,480,5.3,5,3,3,2,2,1,0,0.94,0.56,1.5,0.56,1.13
19,Scotland,2019,19,26.4,47,3,33,270,3,5,3,5,0,0,6,0,1.67,1,2.67,1.67,2.67
20,South Africa,2019,19,27.5,38,3,33,270,3,1,1,1,0,0,7,1,0.33,0.33,0.67,0.33,0.67
21,Spain,2019,19,25.2,62.5,4,44,360,4,4,2,2,2,2,1,0,1,0.5,1.5,0.5,1
22,Sweden,2019,20,28.5,48.4,7,77,660,7.3,12,7,11,1,1,2,0,1.64,0.95,2.59,1.5,2.45
23,Thailand,2019,18,27.8,30,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
24,USA,2019,21,28.8,56,7,77,630,7,25,17,22,3,4,0,0,3.57,2.43,6,3.14,5.57
25,Australia,2015,17,23.6,46.2,5,55,450,5,5,4,5,0,0,0,0,1,0.8,1.8,1,1.8
26,Brazil,2015,20,27.4,59,4,44,360,4,4,1,3,1,1,1,0,1,0.25,1.25,0.75,1
27,Cameroon,2015,17,25.1,48.8,4,44,360,4,9,5,5,4,4,6,0,2.25,1.25,3.5,1.25,2.5
28,Canada,2015,18,27.2,55,5,55,450,5,4,1,3,1,1,3,0,0.8,0.2,1,0.6,0.8
29,China PR,2015,18,23.6,48.6,5,55,450,5,4,2,3,1,1,2,0,0.8,0.4,1.2,0.6,1
30,Colombia,2015,18,24.3,44.3,4,44,360,4,4,4,4,0,0,8,0,1,1,2,1,2
31,Costa Rica,2015,15,25,42.3,3,33,270,3,3,3,3,0,0,0,0,1,1,2,1,2
32,Côte d'Ivoire,2015,19,25,45,3,33,270,3,3,0,3,0,0,8,0,1,0,1,1,1
33,Ecuador,2015,19,23.4,38.7,3,33,270,3,1,0,0,1,1,6,1,0.33,0,0.33,0,0
34,England,2015,22,27.6,48.1,7,77,660,7.3,10,4,7,3,3,3,0,1.36,0.55,1.91,0.95,1.5
35,France,2015,19,27.3,53.6,5,55,480,5.3,9,7,9,0,0,0,0,1.69,1.31,3,1.69,3
36,Germany,2015,21,26.9,54.7,7,77,690,7.7,20,11,18,2,2,1,0,2.61,1.43,4.04,2.35,3.78
37,Japan,2015,23,27.9,55.1,7,77,630,7,9,5,7,2,2,1,0,1.29,0.71,2,1,1.71
38,Korea Rep,2015,19,26.1,43.8,4,44,360,4,4,3,3,1,1,5,0,1,0.75,1.75,0.75,1.5
39,Mexico,2015,17,24.3,52.3,3,33,270,3,2,1,2,0,0,4,0,0.67,0.33,1,0.67,1
40,Netherlands,2015,18,24.3,49,4,44,360,4,3,3,3,0,0,3,0,0.75,0.75,1.5,0.75,1.5
41,New Zealand,2015,15,24.9,46.7,3,33,270,3,2,2,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
42,Nigeria,2015,17,24.6,48.3,3,33,270,3,3,3,3,0,0,6,1,1,1,2,1,2
43,Norway,2015,18,26.7,54.5,4,44,360,4,9,6,9,0,0,1,0,2.25,1.5,3.75,2.25,3.75
44,Spain,2015,17,25.3,50.7,3,33,270,3,2,2,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33
45,Sweden,2015,18,28.1,49.3,4,44,360,4,4,2,4,0,0,0,0,1,0.5,1.5,1,1.5
46,Switzerland,2015,17,25,55.3,4,44,360,4,9,7,8,1,1,4,0,2.25,1.75,4,2,3.75
47,Thailand,2015,17,25.7,40,3,33,270,3,3,3,3,0,0,3,0,1,1,2,1,2
48,USA,2015,20,28.4,52.9,7,77,630,7,14,7,12,2,2,2,0,2,1,3,1.71,2.71
